COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,DEATHS
Australia,AUS,Female,YEARS 0-01,405.8
Australia,AUS,Female,YEARS 10-14,39.8
Australia,AUS,Female,YEARS 01-04,55.1
Australia,AUS,Female,YEARS 15-19,115.6
Australia,AUS,Female,YEARS 20-24,134.7
Australia,AUS,Female,YEARS 25-29,187.1
Australia,AUS,Female,YEARS 30-34,302.1
Australia,AUS,Female,YEARS 35-39,448.5
Australia,AUS,Female,YEARS 40-44,626
Australia,AUS,Female,YEARS 45-49,938.4
Australia,AUS,Female,YEARS 50-54,1379.3
Australia,AUS,Female,YEARS 55-59,2028.3
Australia,AUS,Female,YEARS 05-09,34.5
Australia,AUS,Female,YEARS 60-64,2651.9
Australia,AUS,Female,YEARS 65-69,3540.8
Australia,AUS,Female,YEARS 70-74,5053.1
Australia,AUS,Female,YEARS 75-79,6432.8
Australia,AUS,Female,YEARS 80-84,8861
Australia,AUS,Female,YEARS 85+,31939
Australia,AUS,Male,YEARS 0-01,512
Australia,AUS,Male,YEARS 10-14,56.9
Australia,AUS,Male,YEARS 01-04,75.3
Australia,AUS,Male,YEARS 15-19,244.7
Australia,AUS,Male,YEARS 20-24,426.3
Australia,AUS,Male,YEARS 25-29,494
Australia,AUS,Male,YEARS 30-34,658.5
Australia,AUS,Male,YEARS 35-39,878.7
Australia,AUS,Male,YEARS 40-44,1066.6
Australia,AUS,Male,YEARS 45-49,1580.5
Australia,AUS,Male,YEARS 50-54,2110.5
Australia,AUS,Male,YEARS 55-59,3307.8
Australia,AUS,Male,YEARS 05-09,45.1
Australia,AUS,Male,YEARS 60-64,4382.6
Australia,AUS,Male,YEARS 65-69,5629.9
Australia,AUS,Male,YEARS 70-74,7863.2
Australia,AUS,Male,YEARS 75-79,8993.5
Australia,AUS,Male,YEARS 80-84,10986.6
Australia,AUS,Male,YEARS 85+,23118
Belgium,BEL,Female,YEARS 0-01,136.1
Belgium,BEL,Female,YEARS 10-14,14.6
Belgium,BEL,Female,YEARS 01-04,26.5
Belgium,BEL,Female,YEARS 15-19,35.6
Belgium,BEL,Female,YEARS 20-24,48.1
Belgium,BEL,Female,YEARS 25-29,74.1
Belgium,BEL,Female,YEARS 30-34,106.8
Belgium,BEL,Female,YEARS 35-39,169.4
Belgium,BEL,Female,YEARS 40-44,266.5
Belgium,BEL,Female,YEARS 45-49,484.2
Belgium,BEL,Female,YEARS 50-54,759.5
Belgium,BEL,Female,YEARS 55-59,1279.7
Belgium,BEL,Female,YEARS 05-09,17.1
Belgium,BEL,Female,YEARS 60-64,1931.9
Belgium,BEL,Female,YEARS 65-69,2356.7
Belgium,BEL,Female,YEARS 70-74,3191.3
Belgium,BEL,Female,YEARS 75-79,3747.2
Belgium,BEL,Female,YEARS 80-84,6659.5
Belgium,BEL,Female,YEARS 85+,24499.6
Belgium,BEL,Male,YEARS 0-01,183.5
Belgium,BEL,Male,YEARS 10-14,22.8
Belgium,BEL,Male,YEARS 01-04,34.5
Belgium,BEL,Male,YEARS 15-19,71.6
Belgium,BEL,Male,YEARS 20-24,145.3
Belgium,BEL,Male,YEARS 25-29,187.4
Belgium,BEL,Male,YEARS 30-34,242.9
Belgium,BEL,Male,YEARS 35-39,315.1
Belgium,BEL,Male,YEARS 40-44,468.4
Belgium,BEL,Male,YEARS 45-49,723.1
Belgium,BEL,Male,YEARS 50-54,1148.9
Belgium,BEL,Male,YEARS 55-59,2191.6
Belgium,BEL,Male,YEARS 05-09,21.9
Belgium,BEL,Male,YEARS 60-64,3135.1
Belgium,BEL,Male,YEARS 65-69,4177.2
Belgium,BEL,Male,YEARS 70-74,5189.6
Belgium,BEL,Male,YEARS 75-79,5235.9
Belgium,BEL,Male,YEARS 80-84,7085.8
Belgium,BEL,Male,YEARS 85+,14652.6
Brazil,BRA,Female,YEARS 0-01,14791.8
Brazil,BRA,Female,YEARS 10-14,1099.3
Brazil,BRA,Female,YEARS 01-04,1583
Brazil,BRA,Female,YEARS 15-19,2696.3
Brazil,BRA,Female,YEARS 20-24,3684.2
Brazil,BRA,Female,YEARS 25-29,4202.4
Brazil,BRA,Female,YEARS 30-34,5823.9
Brazil,BRA,Female,YEARS 35-39,9118
Brazil,BRA,Female,YEARS 40-44,11339.5
Brazil,BRA,Female,YEARS 45-49,14834.6
Brazil,BRA,Female,YEARS 50-54,20840.8
Brazil,BRA,Female,YEARS 55-59,28674.8
Brazil,BRA,Female,YEARS 05-09,858.1
Brazil,BRA,Female,YEARS 60-64,35963
Brazil,BRA,Female,YEARS 65-69,42964
Brazil,BRA,Female,YEARS 70-74,50352.3
Brazil,BRA,Female,YEARS 75-79,55669.3
Brazil,BRA,Female,YEARS 80-84,62291
Brazil,BRA,Female,YEARS 85+,130121.1
Brazil,BRA,Male,YEARS 0-01,19616.2
Brazil,BRA,Male,YEARS 10-14,1969.5
Brazil,BRA,Male,YEARS 01-04,2022.8
Brazil,BRA,Male,YEARS 15-19,15748.7
Brazil,BRA,Male,YEARS 20-24,22107.3
Brazil,BRA,Male,YEARS 25-29,19189.6
Brazil,BRA,Male,YEARS 30-34,18509.2
Brazil,BRA,Male,YEARS 35-39,20866.1
Brazil,BRA,Male,YEARS 40-44,22540.2
Brazil,BRA,Male,YEARS 45-49,27548.2
Brazil,BRA,Male,YEARS 50-54,36239.8
Brazil,BRA,Male,YEARS 55-59,47408.4
Brazil,BRA,Male,YEARS 05-09,1124.1
Brazil,BRA,Male,YEARS 60-64,56658.5
Brazil,BRA,Male,YEARS 65-69,63749.5
Brazil,BRA,Male,YEARS 70-74,66196.3
Brazil,BRA,Male,YEARS 75-79,61773.9
Brazil,BRA,Male,YEARS 80-84,59603.7
Brazil,BRA,Male,YEARS 85+,89425.8
Canada,CAN,Female,YEARS 0-01,710.2
Canada,CAN,Female,YEARS 10-14,68.1
Canada,CAN,Female,YEARS 01-04,76
Canada,CAN,Female,YEARS 15-19,185.8
Canada,CAN,Female,YEARS 20-24,297.8
Canada,CAN,Female,YEARS 25-29,440.3
Canada,CAN,Female,YEARS 30-34,534.5
Canada,CAN,Female,YEARS 35-39,677.7
Canada,CAN,Female,YEARS 40-44,951.7
Canada,CAN,Female,YEARS 45-49,1404.4
Canada,CAN,Female,YEARS 50-54,2382.5
Canada,CAN,Female,YEARS 55-59,4378.7
Canada,CAN,Female,YEARS 05-09,43.7
Canada,CAN,Female,YEARS 60-64,5972.9
Canada,CAN,Female,YEARS 65-69,7676.6
Canada,CAN,Female,YEARS 70-74,10164.2
Canada,CAN,Female,YEARS 75-79,11857.9
Canada,CAN,Female,YEARS 80-84,15292.5
Canada,CAN,Female,YEARS 85+,51690.7
Canada,CAN,Male,YEARS 0-01,853.8
Canada,CAN,Male,YEARS 10-14,78.5
Canada,CAN,Male,YEARS 01-04,100.7
Canada,CAN,Male,YEARS 15-19,340.8
Canada,CAN,Male,YEARS 20-24,724.6
Canada,CAN,Male,YEARS 25-29,1106.4
Canada,CAN,Male,YEARS 30-34,1211.8
Canada,CAN,Male,YEARS 35-39,1258.6
Canada,CAN,Male,YEARS 40-44,1492.9
Canada,CAN,Male,YEARS 45-49,2266.3
Canada,CAN,Male,YEARS 50-54,3486.1
Canada,CAN,Male,YEARS 55-59,6456.2
Canada,CAN,Male,YEARS 05-09,59.3
Canada,CAN,Male,YEARS 60-64,9347.9
Canada,CAN,Male,YEARS 65-69,11293.1
Canada,CAN,Male,YEARS 70-74,14601.2
Canada,CAN,Male,YEARS 75-79,15388.4
Canada,CAN,Male,YEARS 80-84,17661.2
Canada,CAN,Male,YEARS 85+,33390.8
China,CHN,Female,YEARS 0-01,45412.7
China,CHN,Female,YEARS 10-14,4731.5
China,CHN,Female,YEARS 01-04,7812.8
China,CHN,Female,YEARS 15-19,7629.5
China,CHN,Female,YEARS 20-24,11647.9
China,CHN,Female,YEARS 25-29,14824.4
China,CHN,Female,YEARS 30-34,26229.8
China,CHN,Female,YEARS 35-39,30474.1
China,CHN,Female,YEARS 40-44,50418.8
China,CHN,Female,YEARS 45-49,87819.3
China,CHN,Female,YEARS 50-54,147255
China,CHN,Female,YEARS 55-59,185269.2
China,CHN,Female,YEARS 05-09,6344.7
China,CHN,Female,YEARS 60-64,258039.9
China,CHN,Female,YEARS 65-69,417384.6
China,CHN,Female,YEARS 70-74,467058.8
China,CHN,Female,YEARS 75-79,516688.2
China,CHN,Female,YEARS 80-84,660513.6
China,CHN,Female,YEARS 85+,1055451
China,CHN,Male,YEARS 0-01,58342.4
China,CHN,Male,YEARS 10-14,9859.3
China,CHN,Male,YEARS 01-04,9887.2
China,CHN,Male,YEARS 15-19,19387.9
China,CHN,Male,YEARS 20-24,34050.6
China,CHN,Male,YEARS 25-29,44263.8
China,CHN,Male,YEARS 30-34,75251.1
China,CHN,Male,YEARS 35-39,83149.7
China,CHN,Male,YEARS 40-44,128735.3
China,CHN,Male,YEARS 45-49,206843.5
China,CHN,Male,YEARS 50-54,314730.2
China,CHN,Male,YEARS 55-59,381753.5
China,CHN,Male,YEARS 05-09,8277.5
China,CHN,Male,YEARS 60-64,494773.6
China,CHN,Male,YEARS 65-69,719730.1
China,CHN,Male,YEARS 70-74,730767
China,CHN,Male,YEARS 75-79,730750
China,CHN,Male,YEARS 80-84,769958
China,CHN,Male,YEARS 85+,966923.8
France,FRA,Female,YEARS 0-01,1143
France,FRA,Female,YEARS 10-14,91.6
France,FRA,Female,YEARS 01-04,171.8
France,FRA,Female,YEARS 15-19,179.2
France,FRA,Female,YEARS 20-24,249.5
France,FRA,Female,YEARS 25-29,343.6
France,FRA,Female,YEARS 30-34,505.8
France,FRA,Female,YEARS 35-39,837.4
France,FRA,Female,YEARS 40-44,1359.5
France,FRA,Female,YEARS 45-49,2685
France,FRA,Female,YEARS 50-54,4143.4
France,FRA,Female,YEARS 55-59,6578.3
France,FRA,Female,YEARS 05-09,79.7
France,FRA,Female,YEARS 60-64,8513.7
France,FRA,Female,YEARS 65-69,11136.8
France,FRA,Female,YEARS 70-74,15409.1
France,FRA,Female,YEARS 75-79,15632.1
France,FRA,Female,YEARS 80-84,27996.3
France,FRA,Female,YEARS 85+,137239.1
France,FRA,Male,YEARS 0-01,1457.8
France,FRA,Male,YEARS 10-14,120.8
France,FRA,Male,YEARS 01-04,221.3
France,FRA,Male,YEARS 15-19,412.1
France,FRA,Male,YEARS 20-24,679.5
France,FRA,Male,YEARS 25-29,891.3
France,FRA,Male,YEARS 30-34,1182.5
France,FRA,Male,YEARS 35-39,1654.4
France,FRA,Male,YEARS 40-44,2545.5
France,FRA,Male,YEARS 45-49,4664.5
France,FRA,Male,YEARS 50-54,7017.9
France,FRA,Male,YEARS 55-59,12506.2
France,FRA,Male,YEARS 05-09,100.8
France,FRA,Male,YEARS 60-64,17437.8
France,FRA,Male,YEARS 65-69,22192
France,FRA,Male,YEARS 70-74,26445.4
France,FRA,Male,YEARS 75-79,23156.8
France,FRA,Male,YEARS 80-84,33395.5
France,FRA,Male,YEARS 85+,78957.9
Germany,DEU,Female,YEARS 0-01,1073.2
Germany,DEU,Female,YEARS 10-14,93.6
Germany,DEU,Female,YEARS 01-04,151.5
Germany,DEU,Female,YEARS 15-19,222.4
Germany,DEU,Female,YEARS 20-24,282
Germany,DEU,Female,YEARS 25-29,397.3
Germany,DEU,Female,YEARS 30-34,774.8
Germany,DEU,Female,YEARS 35-39,1124.2
Germany,DEU,Female,YEARS 40-44,1670
Germany,DEU,Female,YEARS 45-49,3208.6
Germany,DEU,Female,YEARS 50-54,6655.4
Germany,DEU,Female,YEARS 55-59,11132
Germany,DEU,Female,YEARS 05-09,90.8
Germany,DEU,Female,YEARS 60-64,15795.4
Germany,DEU,Female,YEARS 65-69,19855.2
Germany,DEU,Female,YEARS 70-74,26527.8
Germany,DEU,Female,YEARS 75-79,40451.2
Germany,DEU,Female,YEARS 80-84,73553
Germany,DEU,Female,YEARS 85+,102472.7
Germany,DEU,Male,YEARS 0-01,1333.9
Germany,DEU,Male,YEARS 10-14,119.6
Germany,DEU,Male,YEARS 01-04,184.6
Germany,DEU,Male,YEARS 15-19,497.3
Germany,DEU,Male,YEARS 20-24,823.8
Germany,DEU,Male,YEARS 25-29,937.5
Germany,DEU,Male,YEARS 30-34,1487.9
Germany,DEU,Male,YEARS 35-39,2171.2
Germany,DEU,Male,YEARS 40-44,3038.8
Germany,DEU,Male,YEARS 45-49,5462.8
Germany,DEU,Male,YEARS 50-54,12222.3
Germany,DEU,Male,YEARS 55-59,20447.9
Germany,DEU,Male,YEARS 05-09,111.3
Germany,DEU,Male,YEARS 60-64,28762.3
Germany,DEU,Male,YEARS 65-69,34517.9
Germany,DEU,Male,YEARS 70-74,41353.2
Germany,DEU,Male,YEARS 75-79,58507.1
Germany,DEU,Male,YEARS 80-84,79866.4
Germany,DEU,Male,YEARS 85+,108187.4
India,IND,Female,YEARS 0-01,318563.8
India,IND,Female,YEARS 10-14,29101.2
India,IND,Female,YEARS 01-04,72198.6
India,IND,Female,YEARS 15-19,49146.7
India,IND,Female,YEARS 20-24,65930.7
India,IND,Female,YEARS 25-29,65851.2
India,IND,Female,YEARS 30-34,72264.7
India,IND,Female,YEARS 35-39,82596.1
India,IND,Female,YEARS 40-44,102689.2
India,IND,Female,YEARS 45-49,123871
India,IND,Female,YEARS 50-54,210656.5
India,IND,Female,YEARS 55-59,250897.2
India,IND,Female,YEARS 05-09,32429.8
India,IND,Female,YEARS 60-64,338906.1
India,IND,Female,YEARS 65-69,403159.1
India,IND,Female,YEARS 70-74,421615.1
India,IND,Female,YEARS 75-79,425312.6
India,IND,Female,YEARS 80-84,446673.4
India,IND,Female,YEARS 85+,431061.5
India,IND,Male,YEARS 0-01,351763.9
India,IND,Male,YEARS 10-14,31466.8
India,IND,Male,YEARS 01-04,64382.8
India,IND,Male,YEARS 15-19,47766.1
India,IND,Male,YEARS 20-24,81208
India,IND,Male,YEARS 25-29,95152.2
India,IND,Male,YEARS 30-34,125731.3
India,IND,Male,YEARS 35-39,157069.7
India,IND,Male,YEARS 40-44,172813.2
India,IND,Male,YEARS 45-49,222846.3
India,IND,Male,YEARS 50-54,282991.1
India,IND,Male,YEARS 55-59,391673
India,IND,Male,YEARS 05-09,29026
India,IND,Male,YEARS 60-64,452206.8
India,IND,Male,YEARS 65-69,510998.7
India,IND,Male,YEARS 70-74,464477.7
India,IND,Male,YEARS 75-79,441077.7
India,IND,Male,YEARS 80-84,398185.1
India,IND,Male,YEARS 85+,372306.7
Indonesia,IDN,Female,YEARS 0-01,41230.8
Indonesia,IDN,Female,YEARS 10-14,3358.6
Indonesia,IDN,Female,YEARS 01-04,7626.2
Indonesia,IDN,Female,YEARS 15-19,5614.4
Indonesia,IDN,Female,YEARS 20-24,6806.6
Indonesia,IDN,Female,YEARS 25-29,7877.6
Indonesia,IDN,Female,YEARS 30-34,10562.5
Indonesia,IDN,Female,YEARS 35-39,16452.3
Indonesia,IDN,Female,YEARS 40-44,23534.9
Indonesia,IDN,Female,YEARS 45-49,34220.8
Indonesia,IDN,Female,YEARS 50-54,46324.4
Indonesia,IDN,Female,YEARS 55-59,58358.1
Indonesia,IDN,Female,YEARS 05-09,6529.7
Indonesia,IDN,Female,YEARS 60-64,70566.7
Indonesia,IDN,Female,YEARS 65-69,76415.7
Indonesia,IDN,Female,YEARS 70-74,91624.6
Indonesia,IDN,Female,YEARS 75-79,102016.4
Indonesia,IDN,Female,YEARS 80-84,98972.1
Indonesia,IDN,Female,YEARS 85+,99901.1
Indonesia,IDN,Male,YEARS 0-01,54274.6
Indonesia,IDN,Male,YEARS 10-14,5144.9
Indonesia,IDN,Male,YEARS 01-04,9255.4
Indonesia,IDN,Male,YEARS 15-19,11929.8
Indonesia,IDN,Male,YEARS 20-24,14986.7
Indonesia,IDN,Male,YEARS 25-29,13225.2
Indonesia,IDN,Male,YEARS 30-34,14707
Indonesia,IDN,Male,YEARS 35-39,21304.1
Indonesia,IDN,Male,YEARS 40-44,29653.2
Indonesia,IDN,Male,YEARS 45-49,43289.5
Indonesia,IDN,Male,YEARS 50-54,62342.6
Indonesia,IDN,Male,YEARS 55-59,82379.9
Indonesia,IDN,Male,YEARS 05-09,7834.4
Indonesia,IDN,Male,YEARS 60-64,105949.6
Indonesia,IDN,Male,YEARS 65-69,112579.3
Indonesia,IDN,Male,YEARS 70-74,102958.9
Indonesia,IDN,Male,YEARS 75-79,97563.8
Indonesia,IDN,Male,YEARS 80-84,73100.3
Indonesia,IDN,Male,YEARS 85+,59247.4
Iran,IRN,Female,YEARS 0-01,8124.1
Iran,IRN,Female,YEARS 10-14,735.2
Iran,IRN,Female,YEARS 01-04,1238.8
Iran,IRN,Female,YEARS 15-19,1066.1
Iran,IRN,Female,YEARS 20-24,1245.9
Iran,IRN,Female,YEARS 25-29,1759.3
Iran,IRN,Female,YEARS 30-34,2419.2
Iran,IRN,Female,YEARS 35-39,2777.6
Iran,IRN,Female,YEARS 40-44,2937.6
Iran,IRN,Female,YEARS 45-49,3660.9
Iran,IRN,Female,YEARS 50-54,5317.9
Iran,IRN,Female,YEARS 55-59,7247.1
Iran,IRN,Female,YEARS 05-09,935.8
Iran,IRN,Female,YEARS 60-64,10946.3
Iran,IRN,Female,YEARS 65-69,12936.9
Iran,IRN,Female,YEARS 70-74,14659
Iran,IRN,Female,YEARS 75-79,17475.4
Iran,IRN,Female,YEARS 80-84,17795.8
Iran,IRN,Female,YEARS 85+,24640.2
Iran,IRN,Male,YEARS 0-01,9531.3
Iran,IRN,Male,YEARS 10-14,1035.1
Iran,IRN,Male,YEARS 01-04,1271.1
Iran,IRN,Male,YEARS 15-19,2625.7
Iran,IRN,Male,YEARS 20-24,3616.3
Iran,IRN,Male,YEARS 25-29,4247.9
Iran,IRN,Male,YEARS 30-34,5481.2
Iran,IRN,Male,YEARS 35-39,6013.4
Iran,IRN,Male,YEARS 40-44,6159
Iran,IRN,Male,YEARS 45-49,7152.1
Iran,IRN,Male,YEARS 50-54,10376.6
Iran,IRN,Male,YEARS 55-59,13217.4
Iran,IRN,Male,YEARS 05-09,986.9
Iran,IRN,Male,YEARS 60-64,17367.9
Iran,IRN,Male,YEARS 65-69,18407.6
Iran,IRN,Male,YEARS 70-74,18174.9
Iran,IRN,Male,YEARS 75-79,22408.3
Iran,IRN,Male,YEARS 80-84,23969.3
Iran,IRN,Male,YEARS 85+,30846.3
Italy,ITA,Female,YEARS 0-01,508.6
Italy,ITA,Female,YEARS 10-14,66
Italy,ITA,Female,YEARS 01-04,68.8
Italy,ITA,Female,YEARS 15-19,99.5
Italy,ITA,Female,YEARS 20-24,170
Italy,ITA,Female,YEARS 25-29,203.1
Italy,ITA,Female,YEARS 30-34,295.1
Italy,ITA,Female,YEARS 35-39,619.1
Italy,ITA,Female,YEARS 40-44,1140.4
Italy,ITA,Female,YEARS 45-49,2217.7
Italy,ITA,Female,YEARS 50-54,3708.3
Italy,ITA,Female,YEARS 55-59,5539.1
Italy,ITA,Female,YEARS 05-09,57.2
Italy,ITA,Female,YEARS 60-64,7301.9
Italy,ITA,Female,YEARS 65-69,10703
Italy,ITA,Female,YEARS 70-74,17032.6
Italy,ITA,Female,YEARS 75-79,23444.3
Italy,ITA,Female,YEARS 80-84,45653.4
Italy,ITA,Female,YEARS 85+,158804.5
Italy,ITA,Male,YEARS 0-01,636.8
Italy,ITA,Male,YEARS 10-14,108.6
Italy,ITA,Male,YEARS 01-04,83.6
Italy,ITA,Male,YEARS 15-19,283.3
Italy,ITA,Male,YEARS 20-24,450.3
Italy,ITA,Male,YEARS 25-29,501.3
Italy,ITA,Male,YEARS 30-34,630.5
Italy,ITA,Male,YEARS 35-39,951.1
Italy,ITA,Male,YEARS 40-44,1809.8
Italy,ITA,Male,YEARS 45-49,3468.8
Italy,ITA,Male,YEARS 50-54,5910.4
Italy,ITA,Male,YEARS 55-59,9083.1
Italy,ITA,Male,YEARS 05-09,71.6
Italy,ITA,Male,YEARS 60-64,12353.7
Italy,ITA,Male,YEARS 65-69,18098.3
Italy,ITA,Male,YEARS 70-74,27816.4
Italy,ITA,Male,YEARS 75-79,32963.5
Italy,ITA,Male,YEARS 80-84,49980.4
Italy,ITA,Male,YEARS 85+,95104.2
Japan,JPN,Female,YEARS 0-01,709.7
Japan,JPN,Female,YEARS 10-14,143.5
Japan,JPN,Female,YEARS 01-04,232
Japan,JPN,Female,YEARS 15-19,274.7
Japan,JPN,Female,YEARS 20-24,458
Japan,JPN,Female,YEARS 25-29,552.7
Japan,JPN,Female,YEARS 30-34,853.6
Japan,JPN,Female,YEARS 35-39,1355.4
Japan,JPN,Female,YEARS 40-44,2484.4
Japan,JPN,Female,YEARS 45-49,4597.2
Japan,JPN,Female,YEARS 50-54,6054.5
Japan,JPN,Female,YEARS 55-59,7741.3
Japan,JPN,Female,YEARS 05-09,121
Japan,JPN,Female,YEARS 60-64,11246.1
Japan,JPN,Female,YEARS 65-69,21324.9
Japan,JPN,Female,YEARS 70-74,30350.9
Japan,JPN,Female,YEARS 75-79,46254.7
Japan,JPN,Female,YEARS 80-84,76848
Japan,JPN,Female,YEARS 85+,320788.1
Japan,JPN,Male,YEARS 0-01,822.3
Japan,JPN,Male,YEARS 10-14,195.4
Japan,JPN,Male,YEARS 01-04,279.2
Japan,JPN,Male,YEARS 15-19,626.9
Japan,JPN,Male,YEARS 20-24,1222.2
Japan,JPN,Male,YEARS 25-29,1231.2
Japan,JPN,Male,YEARS 30-34,1701.1
Japan,JPN,Male,YEARS 35-39,2423.8
Japan,JPN,Male,YEARS 40-44,3943.8
Japan,JPN,Male,YEARS 45-49,7572.1
Japan,JPN,Male,YEARS 50-54,10699.7
Japan,JPN,Male,YEARS 55-59,15061
Japan,JPN,Male,YEARS 05-09,142.9
Japan,JPN,Male,YEARS 60-64,24342.4
Japan,JPN,Male,YEARS 65-69,49540.5
Japan,JPN,Male,YEARS 70-74,67229.3
Japan,JPN,Male,YEARS 75-79,83287.4
Japan,JPN,Male,YEARS 80-84,109171.3
Japan,JPN,Male,YEARS 85+,201882.9
Mexico,MEX,Female,YEARS 0-01,11277.4
Mexico,MEX,Female,YEARS 10-14,970.6
Mexico,MEX,Female,YEARS 01-04,1665.9
Mexico,MEX,Female,YEARS 15-19,1728.4
Mexico,MEX,Female,YEARS 20-24,2415.4
Mexico,MEX,Female,YEARS 25-29,2888.7
Mexico,MEX,Female,YEARS 30-34,3174.2
Mexico,MEX,Female,YEARS 35-39,4293.8
Mexico,MEX,Female,YEARS 40-44,6216.1
Mexico,MEX,Female,YEARS 45-49,8454.3
Mexico,MEX,Female,YEARS 50-54,12150.1
Mexico,MEX,Female,YEARS 55-59,15980.5
Mexico,MEX,Female,YEARS 05-09,786.9
Mexico,MEX,Female,YEARS 60-64,19836.5
Mexico,MEX,Female,YEARS 65-69,24514.4
Mexico,MEX,Female,YEARS 70-74,25516.4
Mexico,MEX,Female,YEARS 75-79,29528.3
Mexico,MEX,Female,YEARS 80-84,33250.4
Mexico,MEX,Female,YEARS 85+,64303.3
Mexico,MEX,Male,YEARS 0-01,14445.7
Mexico,MEX,Male,YEARS 10-14,1397.9
Mexico,MEX,Male,YEARS 01-04,1978
